"Story","Title","Result","Date","Stability","Duration (s)"
"Confirmar funcionamiento de la api","[YP-001] Confirmar si la api está en funcionamiento","SUCCESS","2023-01-21T23:36:45.638445-05:00[America/Bogota]","0.0","3.6"
"Generar token de autenticación","[YP-002] Validar la creación de token de autenticación","SUCCESS","2023-01-21T23:36:49.250627-05:00[America/Bogota]","0.0","1.28"
"Crear una reserva","[YP-003] Validar la creación de una nueva reserva","SUCCESS","2023-01-21T23:36:50.546179-05:00[America/Bogota]","0.0","0.76"
"Consultar una reserva","[YP-004] Validar que se pueda consultar una reserva por su BookingId","SUCCESS","2023-01-21T23:36:51.323766-05:00[America/Bogota]","0.0","0.67"
"Consultar una reserva","[YP-005] Validar que se puedan consultar todas las reservas existentes","SUCCESS","2023-01-21T23:36:51.997841-05:00[America/Bogota]","0.0","1.9"
"Consultar una reserva","[YP-006] Validar que se pueda consultar una reserva por los nombres del cliente","SUCCESS","2023-01-21T23:36:53.905138-05:00[America/Bogota]","0.0","0.61"
"Consultar una reserva","[YP-007] Validar que se pueda consultar una reserva por un rango de fechas especificas","SUCCESS","2023-01-21T23:36:54.530104-05:00[America/Bogota]","0.0","0.9"
"Consultar una reserva","[YP-008] Ver todos los IDs de las reservas consultando por fechas especificas","SUCCESS","2023-01-21T23:36:55.442767-05:00[America/Bogota]","0.0","0.57"
"Actualizar una reserva","[YP-009] Validar la actualización de una reserva actual","SUCCESS","2023-01-21T23:36:56.027946-05:00[America/Bogota]","0.0","0.66"
"Actualizar una reserva","[YP-010] Validar la actualización parcial una reserva actual","SUCCESS","2023-01-21T23:36:56.69895-05:00[America/Bogota]","0.0","0.64"
"Eliminar una reserva","[YP-011] Validar la eliminación de una reserva actual","SUCCESS","2023-01-21T23:36:57.349552-05:00[America/Bogota]","0.0","0.53"
"Validar que no se puedan crear/consultar/actualizar/eliminar reservas","[YP-012] Validar que no se pueda crear un reserva al no enviar un campo obligatorio","SUCCESS","2023-01-21T23:36:57.89051-05:00[America/Bogota]","0.0","0.53"
"Validar que no se puedan crear/consultar/actualizar/eliminar reservas","[YP-013] Validar que no se pueda consultar una reserva eliminada","SUCCESS","2023-01-21T23:36:58.428576-05:00[America/Bogota]","0.0","1.05"
"Validar que no se puedan crear/consultar/actualizar/eliminar reservas","[YP-014] Validar que no se pueda actualizar una reserva eliminada","SUCCESS","2023-01-21T23:36:59.482183-05:00[America/Bogota]","0.0","1.08"
"Validar que no se puedan crear/consultar/actualizar/eliminar reservas","[YP-015] Validar que no se pueda eliminar una reserva sin estar autenticado","SUCCESS","2023-01-21T23:37:00.567475-05:00[America/Bogota]","0.0","1.03"
